"","iter","lambda","lambda_err","beta","beta_err","I_inf","I_inf_err","tau0","tau0_err","R_sq","delta_R_sq","R_sq_adj","convergence","id"
"1",1601,0.0102548690919337,0.00148907882554789,1.46816002241118,0.0333062987064496,0.248547637863787,0.0186235212930527,22.6362535840285,3.84077100590432,0.966626520590367,9.99324497596987e-08,0.94993978088555,TRUE,"2685e76p824xg7ndgame-level"
"2",235,0.140701109301293,0.0189882342110222,0.520465043634684,0.0270772130635969,0.657931530520573,0.0112172355773887,43.2938194922727,19.7128301967217,0.931829183457236,9.93712312435946e-08,0.909105577942981,TRUE,"2685e76pmke0e8d6game-level"
"3",4000,1.30903157387418e-07,2.45865094833711e-08,2.38765812084595,0.0252624145607442,0.379251405955407,0.0268285915905324,763.417141422331,113.66859329189,0.928405383672421,1.24908434077087e-05,0.892608075508631,FALSE,"2689591prklr48kngame-level"
"4",1160,0.0109688055269755,0.00410021918438455,2.35598952983552,0.174463961092806,0.1896291198582,0.0407863244194716,6.78976233231408,2.04033355839937,0.880720908939375,9.99724613093278e-08,0.809153454303,TRUE,"2689591pwk6vyeedgame-level"
"5",23,0.285867924826316,0.101752832485452,2.20834405002362,0.525672745896588,0.153862220634526,0.113334772484912,1.76304548274104,0.522142935326273,0.777068014521572,5.79447533288757e-08,0.643308823234515,TRUE,"268e7n76w2037652game-level"
"6",4000,5.07000479112334e-05,1.18097168389969e-05,1.72346630223563,0.02374188327823,0.760653830643611,0.0191908325405158,310.503082974793,66.5101381864925,0.882643960362347,3.67715997318108e-07,0.843525280483129,FALSE,"268ekxy6n2y7rvz2game-level"
"7",305,0.0192846953731659,0.00183642610780588,1.20667208255287,0.0176642517836299,0.596251175828576,0.0117822404563405,26.3686563586799,3.34401866582028,0.985960484554882,9.91261027705193e-08,0.977536775287812,TRUE,"268erm76vdoxgl9dgame-level"
"8",878,0.0097407188307693,0.0210765896638589,0.674411522796924,0.0172105190202001,0,1.8523646929979,960.429168719948,3249.7274602019,0.892840223189346,9.88416311020757e-08,0.839260334784019,TRUE,"268ex4o6w20ylqjkgame-level"
"9",4000,0.00234295147328124,0.00254461537066061,0.80577104270454,0.0183474111760163,0,0.644539910677667,1837.5883884672,2791.31810208937,0.617464421236564,2.4818448296493e-07,0.474013579200276,FALSE,"268exwy6vdo31v9dgame-level"
"10",492,0.007090393081765,0.00124956006884005,1.13362265372141,0.0316303499597158,0.703580334038455,0.0133540447801038,78.7015633766844,21.8216331716287,0.94549221162291,9.99563172232598e-08,0.912787538596655,TRUE,"268n096pq25onggkgame-level"
"11",4000,1.37908501939657e-10,1.18240627093696e-11,5.16970018294158,0.017722264176927,0.734471292325145,0.003387676129582,80.7879123659039,2.55616504869794,0.992624959511759,2.05528456620474e-06,0.988937439267638,FALSE,"268q8o6p9kvo38j2game-level"
"12",2280,0.108137655714768,0.0406059206574606,0.371650551363154,0.00928205046062551,0.806010451521795,0.0355837585206518,397.445751941242,460.974095460741,0.932031672591111,9.99298960246975e-08,0.906543549812777,TRUE,"268wlo6pxd13oxrkgame-level"
"13",885,0.0663854084774881,0.0106754284904253,0.621849236822862,0.0229606138630314,0.367003876773657,0.0122043762015848,78.3850133301546,32.8938418825251,0.971835015259538,9.94757619610098e-08,0.961273145981864,TRUE,"29d30dlpjzd3y2nqgame-level"
"14",757,0.0052746366125245,0.000649554068924667,1.12416067025144,0.0213409208222137,0.304213699557893,0.0156365864599143,106.225662559812,21.0449985321457,0.967036058430734,9.95663972380711e-08,0.952908654901048,TRUE,"29d30dlpl9kvjkgqgame-level"
"15",4000,0.000379759448387599,2.65055466251805e-05,1.29078246131363,0.00777230937162863,0.444057871014058,0.00773262863435337,446.618169398313,40.5587790494113,0.987554524628788,1.92574943658208e-07,0.982887471364584,FALSE,"29d30dlpnxd1rk8qgame-level"
"16",13,0.651094195406323,0.228354444011606,1.45896411409246,0.783041508183613,0.197611188967355,0.0699615993496538,1.34193612371848,0.534421187322824,0.608869859191526,9.42857092400828e-08,0.41330478878729,TRUE,"29d30dlprkle7mw2game-level"
"17",1364,0.00966454753625607,0.0347861399735286,0.389687977424047,0.00812244174174997,0,3.29441254615305,148025.924966187,1403974.09272293,0.897755178486532,9.92279411970998e-08,0.853935969266475,TRUE,"29d30dlpz2771020game-level"
"18",4000,1.7865135770565e-05,2.56788834051486e-06,1.54590976477613,0.00967358633769912,0.859279713542367,0.00809993219112811,1178.49171438117,161.727257842965,0.98431738887774,2.53285986406837e-07,0.974907822204384,FALSE,"3698ngdlrklrw6kngame-level"
"19",2,0.00014916564081358,0.00170600029407027,1.00002475702525,0.0140903057209446,0,10.5491156640976,6702.49464367442,77486.2324416467,0.752601443753742,8.49391661450483e-08,0.628902165630612,TRUE,"369g901ln2yv5e72game-level"
"20",800,0.0123876979009665,0.00966738537977101,2.43753481550746,0.380174391110321,0.479945502926053,0.0365074766005984,6.05831225631905,3.64179552028496,0.498915124396193,9.99338624074753e-08,0.373643905495241,TRUE,"369p7el1zd3wng8kgame-level"
"21",1721,0.0390283862206561,0.00637973705788731,0.486325606376933,0.00496053321374433,0.666738904585103,0.0321049686857896,787.86770118535,318.415053024986,0.980363396119254,9.96352398363598e-08,0.970545094178881,TRUE,"369p9l1l7kjzj3d3game-level"
"22",431,0.118906384835207,0.0289692056080234,0.407671046373346,0.0156696283669089,0.146332229988844,0.0811794979092562,185.55940307184,148.147962330065,0.937581457385992,9.90321772365022e-08,0.900130331817587,TRUE,"369pky817kj8o5gdgame-level"
